Ref_Date,GEO,Value
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",842
2013,"Gander, Newfoundland and Labrador",860
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",..
2013,"Gander, Newfoundland and Labrador",..
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",F
2013,"Gander, Newfoundland and Labrador",F
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",533
2013,"Gander, Newfoundland and Labrador",567
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",596
2013,"Gander, Newfoundland and Labrador",638
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",684
2013,"Gander, Newfoundland and Labrador",696
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",F
2013,"Gander, Newfoundland and Labrador",F
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",533
2013,"Gander, Newfoundland and Labrador",567
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",593
2013,"Gander, Newfoundland and Labrador",636
2009,"Gander, Newfoundland and Labrador",..
2010,"Gander, Newfoundland and Labrador",..
2011,"Gander, Newfoundland and Labrador",..
2012,"Gander, Newfoundland and Labrador",684
2013,"Gander, Newfoundland and Labrador",696
2009,"Grand Falls-Windsor, Newfoundland and Labrador",348
2010,"Grand Falls-Windsor, Newfoundland and Labrador",F
2011,"Grand Falls-Windsor, Newfoundland and Labrador",F
2012,"Grand Falls-Windsor, Newfoundland and Labrador",F
2013,"Grand Falls-Windsor, Newfoundland and Labrador",F
2009,"Grand Falls-Windsor, Newfoundland and Labrador",498
2010,"Grand Falls-Windsor, Newfoundland and Labrador",507
2011,"Grand Falls-Windsor, Newfoundland and Labrador",528
2012,"Grand Falls-Windsor, Newfoundland and Labrador",535
2013,"Grand Falls-Windsor, Newfoundland and Labrador",543
2009,"Grand Falls-Windsor, Newfoundland and Labrador",659
2010,"Grand Falls-Windsor, Newfoundland and Labrador",669
2011,"Grand Falls-Windsor, Newfoundland and Labrador",677
2012,"Grand Falls-Windsor, Newfoundland and Labrador",696
2013,"Grand Falls-Windsor, Newfoundland and Labrador",716
2009,"Grand Falls-Windsor, Newfoundland and Labrador",554
2010,"Grand Falls-Windsor, Newfoundland and Labrador",568
2011,"Grand Falls-Windsor, Newfoundland and Labrador",590
2012,"Grand Falls-Windsor, Newfoundland and Labrador",608
2013,"Grand Falls-Windsor, Newfoundland and Labrador",629
2009,"Grand Falls-Windsor, Newfoundland and Labrador",..
2010,"Grand Falls-Windsor, Newfoundland and Labrador",..
2011,"Grand Falls-Windsor, Newfoundland and Labrador",..
2012,"Grand Falls-Windsor, Newfoundland and Labrador",..
2013,"Grand Falls-Windsor, Newfoundland and Labrador",..
2009,"Grand Falls-Windsor, Newfoundland and Labrador",F
2010,"Grand Falls-Windsor, Newfoundland and Labrador",..
2011,"Grand Falls-Windsor, Newfoundland and Labrador",F
2012,"Grand Falls-Windsor, Newfoundland and Labrador",F
2013,"Grand Falls-Windsor, Newfoundland and Labrador",..
2009,"Grand Falls-Windsor, Newfoundland and Labrador",794
2010,"Grand Falls-Windsor, Newfoundland and Labrador",775
2011,"Grand Falls-Windsor, Newfoundland and Labrador",784
2012,"Grand Falls-Windsor, Newfoundland and Labrador",826
2013,"Grand Falls-Windsor, Newfoundland and Labrador",813
2009,"Grand Falls-Windsor, Newfoundland and Labrador",543
2010,"Grand Falls-Windsor, Newfoundland and Labrador",552
2011,"Grand Falls-Windsor, Newfoundland and Labrador",573
2012,"Grand Falls-Windsor, Newfoundland and Labrador",589
2013,"Grand Falls-Windsor, Newfoundland and Labrador",613
2009,"Grand Falls-Windsor, Newfoundland and Labrador",348
2010,"Grand Falls-Windsor, Newfoundland and Labrador",F
2011,"Grand Falls-Windsor, Newfoundland and Labrador",F
2012,"Grand Falls-Windsor, Newfoundland and Labrador",F
2013,"Grand Falls-Windsor, Newfoundland and Labrador",F
2009,"Grand Falls-Windsor, Newfoundland and Labrador",495
2010,"Grand Falls-Windsor, Newfoundland and Labrador",507
2011,"Grand Falls-Windsor, Newfoundland and Labrador",520
2012,"Grand Falls-Windsor, Newfoundland and Labrador",533
2013,"Grand Falls-Windsor, Newfoundland and Labrador",543
2009,"Grand Falls-Windsor, Newfoundland and Labrador",626
2010,"Grand Falls-Windsor, Newfoundland and Labrador",639
2011,"Grand Falls-Windsor, Newfoundland and Labrador",646
2012,"Grand Falls-Windsor, Newfoundland and Labrador",659
2013,"Grand Falls-Windsor, Newfoundland and Labrador",683
2009,"Grand Falls-Windsor, Newfoundland and Labrador",F
2010,"Grand Falls-Windsor, Newfoundland and Labrador",F
2011,"Grand Falls-Windsor, Newfoundland and Labrador",F
2012,"Grand Falls-Windsor, Newfoundland and Labrador",F
2013,"Grand Falls-Windsor, Newfoundland and Labrador",F
2009,"Grand Falls-Windsor, Newfoundland and Labrador",F
2010,"Grand Falls-Windsor, Newfoundland and Labrador",F
2011,"Grand Falls-Windsor, Newfoundland and Labrador",F
2012,"Grand Falls-Windsor, Newfoundland and Labrador",F
2013,"Grand Falls-Windsor, Newfoundland and Labrador",F
2009,"Grand Falls-Windsor, Newfoundland and Labrador",509
2010,"Grand Falls-Windsor, Newfoundland and Labrador",529
2011,"Grand Falls-Windsor, Newfoundland and Labrador",533
2012,"Grand Falls-Windsor, Newfoundland and Labrador",558
2013,"Grand Falls-Windsor, Newfoundland and Labrador",574
2009,"Grand Falls-Windsor, Newfoundland and Labrador",639
2010,"Grand Falls-Windsor, Newfoundland and Labrador",658
2011,"Grand Falls-Windsor, Newfoundland and Labrador",673
2012,"Grand Falls-Windsor, Newfoundland and Labrador",684
2013,"Grand Falls-Windsor, Newfoundland and Labrador",703
2009,"Grand Falls-Windsor, Newfoundland and Labrador",F
2010,"Grand Falls-Windsor, Newfoundland and Labrador",F
2011,"Grand Falls-Windsor, Newfoundland and Labrador",F
2012,"Grand Falls-Windsor, Newfoundland and Labrador",F
2013,"Grand Falls-Windsor, Newfoundland and Labrador",F
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"Labrador City, Newfoundland and Labrador",..
2010,"Labrador City, Newfoundland and Labrador",..
2009,"St. John's, Newfoundland and Labrador",541
2010,"St. John's, Newfoundland and Labrador",565
2011,"St. John's, Newfoundland and Labrador",583
2012,"St. John's, Newfoundland and Labrador",611
2013,"St. John's, Newfoundland and Labrador",649
2009,"St. John's, Newfoundland and Labrador",584
2010,"St. John's, Newfoundland and Labrador",636
2011,"St. John's, Newfoundland and Labrador",655
2012,"St. John's, Newfoundland and Labrador",696
2013,"St. John's, Newfoundland and Labrador",725
2009,"St. John's, Newfoundland and Labrador",676
2010,"St. John's, Newfoundland and Labrador",723
2011,"St. John's, Newfoundland and Labrador",770
2012,"St. John's, Newfoundland and Labrador",796
2013,"St. John's, Newfoundland and Labrador",859
2009,"St. John's, Newfoundland and Labrador",740
2010,"St. John's, Newfoundland and Labrador",796
2011,"St. John's, Newfoundland and Labrador",836
2012,"St. John's, Newfoundland and Labrador",887
2013,"St. John's, Newfoundland and Labrador",889
2009,"St. John's, Newfoundland and Labrador",..
2010,"St. John's, Newfoundland and Labrador",..
2011,"St. John's, Newfoundland and Labrador",..
2012,"St. John's, Newfoundland and Labrador",..
2013,"St. John's, Newfoundland and Labrador",F
2009,"St. John's, Newfoundland and Labrador",475
2010,"St. John's, Newfoundland and Labrador",470
2011,"St. John's, Newfoundland and Labrador",487
2012,"St. John's, Newfoundland and Labrador",519
2013,"St. John's, Newfoundland and Labrador",529
2009,"St. John's, Newfoundland and Labrador",589
2010,"St. John's, Newfoundland and Labrador",602
2011,"St. John's, Newfoundland and Labrador",752
2012,"St. John's, Newfoundland and Labrador",748
2013,"St. John's, Newfoundland and Labrador",716
2009,"St. John's, Newfoundland and Labrador",F
2010,"St. John's, Newfoundland and Labrador",F
2011,"St. John's, Newfoundland and Labrador",F
2012,"St. John's, Newfoundland and Labrador",F
2013,"St. John's, Newfoundland and Labrador",F
2009,"St. John's, Newfoundland and Labrador",541
2010,"St. John's, Newfoundland and Labrador",565
2011,"St. John's, Newfoundland and Labrador",583
2012,"St. John's, Newfoundland and Labrador",611
2013,"St. John's, Newfoundland and Labrador",649
2009,"St. John's, Newfoundland and Labrador",592
2010,"St. John's, Newfoundland and Labrador",649
2011,"St. John's, Newfoundland and Labrador",666
2012,"St. John's, Newfoundland and Labrador",709
2013,"St. John's, Newfoundland and Labrador",739
2009,"St. John's, Newfoundland and Labrador",677
2010,"St. John's, Newfoundland and Labrador",725
2011,"St. John's, Newfoundland and Labrador",771
2012,"St. John's, Newfoundland and Labrador",798
2013,"St. John's, Newfoundland and Labrador",864
2009,"St. John's, Newfoundland and Labrador",709
2010,"St. John's, Newfoundland and Labrador",758
2011,"St. John's, Newfoundland and Labrador",816
2012,"St. John's, Newfoundland and Labrador",845
2013,"St. John's, Newfoundland and Labrador",859
2009,"St. John's, Newfoundland and Labrador",552
2010,"St. John's, Newfoundland and Labrador",575
2011,"St. John's, Newfoundland and Labrador",607
2012,"St. John's, Newfoundland and Labrador",627
2013,"St. John's, Newfoundland and Labrador",666
2009,"St. John's, Newfoundland and Labrador",617
2010,"St. John's, Newfoundland and Labrador",656
2011,"St. John's, Newfoundland and Labrador",687
2012,"St. John's, Newfoundland and Labrador",716
2013,"St. John's, Newfoundland and Labrador",754
2009,"St. John's, Newfoundland and Labrador",674
2010,"St. John's, Newfoundland and Labrador",734
2011,"St. John's, Newfoundland and Labrador",779
2012,"St. John's, Newfoundland and Labrador",803
2013,"St. John's, Newfoundland and Labrador",871
2009,"St. John's, Newfoundland and Labrador",707
2010,"St. John's, Newfoundland and Labrador",762
2011,"St. John's, Newfoundland and Labrador",807
2012,"St. John's, Newfoundland and Labrador",844
2013,"St. John's, Newfoundland and Labrador",869
2009,"Charlottetown, Prince Edward Island",447
2010,"Charlottetown, Prince Edward Island",477
2011,"Charlottetown, Prince Edward Island",490
2012,"Charlottetown, Prince Edward Island",513
2013,"Charlottetown, Prince Edward Island",531
2009,"Charlottetown, Prince Edward Island",561
2010,"Charlottetown, Prince Edward Island",577
2011,"Charlottetown, Prince Edward Island",602
2012,"Charlottetown, Prince Edward Island",632
2013,"Charlottetown, Prince Edward Island",649
2009,"Charlottetown, Prince Edward Island",703
2010,"Charlottetown, Prince Edward Island",733
2011,"Charlottetown, Prince Edward Island",762
2012,"Charlottetown, Prince Edward Island",804
2013,"Charlottetown, Prince Edward Island",805
2009,"Charlottetown, Prince Edward Island",861
2010,"Charlottetown, Prince Edward Island",834
2011,"Charlottetown, Prince Edward Island",928
2012,"Charlottetown, Prince Edward Island",973
2013,"Charlottetown, Prince Edward Island",986
2009,"Charlottetown, Prince Edward Island",..
2010,"Charlottetown, Prince Edward Island",..
2011,"Charlottetown, Prince Edward Island",..
2012,"Charlottetown, Prince Edward Island",..
2013,"Charlottetown, Prince Edward Island",..
2009,"Charlottetown, Prince Edward Island",F
2010,"Charlottetown, Prince Edward Island",F
2011,"Charlottetown, Prince Edward Island",..
2012,"Charlottetown, Prince Edward Island",F
2013,"Charlottetown, Prince Edward Island",..
2009,"Charlottetown, Prince Edward Island",767
2010,"Charlottetown, Prince Edward Island",799
2011,"Charlottetown, Prince Edward Island",780
2012,"Charlottetown, Prince Edward Island",855
2013,"Charlottetown, Prince Edward Island",832
2009,"Charlottetown, Prince Edward Island",903
2010,"Charlottetown, Prince Edward Island",836
2011,"Charlottetown, Prince Edward Island",949
2012,"Charlottetown, Prince Edward Island",990
2013,"Charlottetown, Prince Edward Island",1001
2009,"Charlottetown, Prince Edward Island",447
2010,"Charlottetown, Prince Edward Island",477
2011,"Charlottetown, Prince Edward Island",490
2012,"Charlottetown, Prince Edward Island",513
2013,"Charlottetown, Prince Edward Island",531
2009,"Charlottetown, Prince Edward Island",560
2010,"Charlottetown, Prince Edward Island",577
2011,"Charlottetown, Prince Edward Island",602
2012,"Charlottetown, Prince Edward Island",631
2013,"Charlottetown, Prince Edward Island",649
2009,"Charlottetown, Prince Edward Island",701
2010,"Charlottetown, Prince Edward Island",731
2011,"Charlottetown, Prince Edward Island",761
2012,"Charlottetown, Prince Edward Island",803
2013,"Charlottetown, Prince Edward Island",804
2009,"Charlottetown, Prince Edward Island",801
2010,"Charlottetown, Prince Edward Island",833
2011,"Charlottetown, Prince Edward Island",906
2012,"Charlottetown, Prince Edward Island",953
2013,"Charlottetown, Prince Edward Island",969
2009,"Charlottetown, Prince Edward Island",453
2010,"Charlottetown, Prince Edward Island",483
2011,"Charlottetown, Prince Edward Island",495
2012,"Charlottetown, Prince Edward Island",520
2013,"Charlottetown, Prince Edward Island",537
2009,"Charlottetown, Prince Edward Island",567
2010,"Charlottetown, Prince Edward Island",582
2011,"Charlottetown, Prince Edward Island",610
2012,"Charlottetown, Prince Edward Island",641
2013,"Charlottetown, Prince Edward Island",658
2009,"Charlottetown, Prince Edward Island",704
2010,"Charlottetown, Prince Edward Island",733
2011,"Charlottetown, Prince Edward Island",764
2012,"Charlottetown, Prince Edward Island",808
2013,"Charlottetown, Prince Edward Island",808
2009,"Charlottetown, Prince Edward Island",810
2010,"Charlottetown, Prince Edward Island",825
2011,"Charlottetown, Prince Edward Island",912
2012,"Charlottetown, Prince Edward Island",964
2013,"Charlottetown, Prince Edward Island",974
2009,"Summerside, Prince Edward Island",405
2010,"Summerside, Prince Edward Island",437
2011,"Summerside, Prince Edward Island",469
2012,"Summerside, Prince Edward Island",493
2013,"Summerside, Prince Edward Island",524
2009,"Summerside, Prince Edward Island",488
2010,"Summerside, Prince Edward Island",521
2011,"Summerside, Prince Edward Island",485
2012,"Summerside, Prince Edward Island",495
2013,"Summerside, Prince Edward Island",515
2009,"Summerside, Prince Edward Island",645
2010,"Summerside, Prince Edward Island",673
2011,"Summerside, Prince Edward Island",678
2012,"Summerside, Prince Edward Island",717
2013,"Summerside, Prince Edward Island",735
2009,"Summerside, Prince Edward Island",754
2010,"Summerside, Prince Edward Island",684
2011,"Summerside, Prince Edward Island",697
2012,"Summerside, Prince Edward Island",711
2013,"Summerside, Prince Edward Island",733
2009,"Summerside, Prince Edward Island",F
2010,"Summerside, Prince Edward Island",F
2011,"Summerside, Prince Edward Island",F
2012,"Summerside, Prince Edward Island",F
2013,"Summerside, Prince Edward Island",F
2009,"Summerside, Prince Edward Island",444
2010,"Summerside, Prince Edward Island",457
2011,"Summerside, Prince Edward Island",382
2012,"Summerside, Prince Edward Island",390
2013,"Summerside, Prince Edward Island",406
2009,"Summerside, Prince Edward Island",756
2010,"Summerside, Prince Edward Island",733
2011,"Summerside, Prince Edward Island",726
2012,"Summerside, Prince Edward Island",772
2013,"Summerside, Prince Edward Island",805
2009,"Summerside, Prince Edward Island",769
2010,"Summerside, Prince Edward Island",681
2011,"Summerside, Prince Edward Island",691
2012,"Summerside, Prince Edward Island",703
2013,"Summerside, Prince Edward Island",722
2009,"Summerside, Prince Edward Island",444
2010,"Summerside, Prince Edward Island",492
2011,"Summerside, Prince Edward Island",522
2012,"Summerside, Prince Edward Island",540
2013,"Summerside, Prince Edward Island",582
2009,"Summerside, Prince Edward Island",500
2010,"Summerside, Prince Edward Island",540
2011,"Summerside, Prince Edward Island",524
2012,"Summerside, Prince Edward Island",534
2013,"Summerside, Prince Edward Island",555
2009,"Summerside, Prince Edward Island",628
2010,"Summerside, Prince Edward Island",661
2011,"Summerside, Prince Edward Island",671
2012,"Summerside, Prince Edward Island",707
2013,"Summerside, Prince Edward Island",722
2009,"Summerside, Prince Edward Island",701
2010,"Summerside, Prince Edward Island",694
2011,"Summerside, Prince Edward Island",718
2012,"Summerside, Prince Edward Island",737
2013,"Summerside, Prince Edward Island",782
2009,"Summerside, Prince Edward Island",F
2010,"Summerside, Prince Edward Island",F
2011,"Summerside, Prince Edward Island",F
2012,"Summerside, Prince Edward Island",F
2013,"Summerside, Prince Edward Island",F
2009,"Summerside, Prince Edward Island",510
2010,"Summerside, Prince Edward Island",561
2011,"Summerside, Prince Edward Island",552
